Date,AAPL,ABBV,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BK,BKNG,BLK,BMY,BRK-B,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DE,DHR,DIS,DOW,DUK,EMR,EXC,F,FDX,GD,GE,GILD,GM,GOOG,GS,HD,HON,IBM,INTC,JNJ,JPM,KHC,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,META,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,PYPL,QCOM,RTX,SBUX,SCHW,SO,SPG,T,TGT,TMO,TMUS,TXN,UNH,UNP,UPS,USB,V,VZ,WBA,WFC,WMT,XOM
2018-01-02,40.30418014526367,69.34370422363281,50.822933197021484,136.7078399658203,177.6999969482422,48.066226959228516,10.979999542236328,137.77517700195312,114.97183227539062,59.45050048828125,21.086660385131836,88.57152557373047,282.8864440917969,24.63749885559082,42.96461486816406,1752.020263671875,414.357177734375,45.551109313964844,197.22000122070312,56.57960510253906,131.54391479492188,348.9700012207031,61.73604965209961,31.178985595703125,86.40506744384766,42.354923248291016,168.49818420410156,103.1566390991211,30.433555603027344,56.49821853637695,89.4523696899414,140.2466583251953,78.78562927246094,106.22452545166016,,59.498233795166016,58.181640625,21.18340492248535,8.174585342407227,223.6631317138672,166.5133514404297,81.05406951904297,54.54402542114258,36.64651107788086,52.816375732421875,213.1442413330078,153.7928924560547,117.08695983886719,103.41282653808594,39.33038330078125,110.76416015625,86.34088897705078,51.68661880493164,35.25035095214844,137.2722930908203,75.0267105102539,255.92567443847656,78.6984634399414,145.05812072753906,142.78152465820312,34.99937057495117,66.0336685180664,37.8373908996582,180.00738525390625,148.22242736816406,38.34283447265625,41.5934944152832,40.83972930908203,78.87034606933594,31.563602447509766,20.10700035095215,56.926700592041016,4.92826509475708,41.251190185546875,91.60281372070312,23.830413818359375,72.82498931884766,68.16304016113281,73.44731903076172,52.61402893066406,66.64505767822266,48.09031295776367,46.00040054321289,33.689266204833984,110.56610107421875,16.087726593017578,53.563995361328125,188.7553253173828,61.5733528137207,83.80709075927734,193.09046936035156,113.2718276977539,89.84111785888672,39.419212341308594,108.11190795898438,34.220027923583984,,48.6533317565918,28.855199813842773,58.580413818359375
2018-01-03,40.297157287597656,70.4288558959961,50.93532180786133,137.33871459960938,181.0399932861328,48.599403381347656,11.550000190734863,140.375,115.41986846923828,60.209999084472656,21.317264556884766,89.11761474609375,283.8012390136719,24.555095672607422,43.228065490722656,1790.70751953125,418.7290344238281,45.5882453918457,199.7899932861328,56.75460433959961,131.74488830566406,353.0299987792969,61.49778747558594,30.677928924560547,86.25762176513672,43.13587951660156,170.520263671875,104.02606201171875,30.67633628845215,56.25229263305664,90.10443878173828,140.88571166992188,79.8339614868164,106.68058013916016,,59.31235885620117,58.716251373291016,20.899816513061523,8.239153861999512,226.45884704589844,167.551513671875,81.82041931152344,54.95623779296875,37.540767669677734,53.683265686035156,211.16012573242188,154.59449768066406,116.11949920654297,106.25541687011719,37.995574951171875,111.822265625,86.42887115478516,51.67989730834961,35.172950744628906,138.4236602783203,75.43428039550781,258.07086181640625,79.04205322265625,146.8820037841797,142.1798095703125,35.13966369628906,67.4072036743164,38.07869338989258,183.23211669921875,148.21612548828125,38.20191955566406,41.5343132019043,40.94929504394531,79.23741149902344,30.894018173217773,20.5049991607666,56.91773986816406,5.252614974975586,42.20661544799805,91.36225128173828,24.00698471069336,72.73661041259766,68.07814025878906,76.34184265136719,53.21120071411133,67.6226806640625,48.99153518676758,46.071937561035156,33.496421813964844,110.0531005859375,15.716216087341309,53.19966506958008,192.21788024902344,61.15991973876953,86.07752227783203,195.1160125732422,113.90582275390625,91.83161926269531,39.80589294433594,109.1882095336914,33.51683044433594,,49.02762985229492,29.106904983520508,59.7309455871582
2018-01-04,40.484344482421875,70.02720642089844,50.848873138427734,138.96498107910156,183.22000122070312,48.79328918457031,12.119999885559082,139.78341674804688,113.73358154296875,60.47949981689453,21.324365615844727,90.59991455078125,282.724365234375,24.876453399658203,43.65913772583008,1774.107421875,424.2568359375,46.17904281616211,200.69000244140625,57.454612731933594,133.55422973632812,349.7900085449219,61.89215087890625,30.875314712524414,87.97515106201172,43.6335334777832,169.19610595703125,105.39938354492188,30.763126373291016,57.735450744628906,89.82395935058594,141.6934051513672,80.21746826171875,106.63308715820312,,58.84767532348633,58.798492431640625,20.605527877807617,8.381207466125488,229.9840850830078,170.43344116210938,83.5334701538086,54.39681625366211,38.69801712036133,53.87767028808594,214.11134338378906,155.82130432128906,117.68870544433594,108.407470703125,37.29880142211914,111.8143081665039,87.66702270507812,52.283870697021484,35.6683464050293,140.59451293945312,75.77093505859375,262.497802734375,79.66049194335938,148.78225708007812,143.1771697998047,35.22218322753906,67.56784057617188,38.72715377807617,182.8947296142578,150.15353393554688,38.05015182495117,42.207557678222656,41.57529830932617,79.934814453125,30.735280990600586,20.562999725341797,56.88186264038086,5.280303478240967,42.62240219116211,91.81230926513672,24.059303283691406,73.25074768066406,67.56229400634766,76.32195281982422,53.283809661865234,67.83588409423828,49.17511749267578,46.33126449584961,33.35359191894531,106.833984375,15.862323760986328,52.15421676635742,194.6239776611328,60.57340621948242,85.96640014648438,195.962890625,113.28852081298828,92.42729949951172,40.11232376098633,109.59420013427734,33.625511169433594,,49.640892028808594,29.13324546813965,59.8136100769043
2018-01-05,40.94526290893555,71.2462387084961,50.99583435058594,140.11131286621094,185.33999633789062,48.99525451660156,11.880000114440918,140.6162872314453,114.46672821044922,61.457000732421875,21.45073127746582,90.80655670166016,294.32232666015625,24.991817474365234,43.77090072631836,1790.0987548828125,427.8714294433594,46.28374099731445,201.4199981689453,57.37852478027344,135.66513061523438,350.8800048828125,61.966087341308594,31.156208038330078,87.98380279541016,43.54931640625,167.9881591796875,106.80232238769531,31.189180374145508,60.28678894042969,89.6767349243164,142.29698181152344,80.72032165527344,106.0534896850586,,58.57603454589844,59.571617126464844,20.434301376342773,8.523261070251465,230.8870849609375,170.0098419189453,83.57853698730469,54.85318374633789,38.58403778076172,54.6627197265625,213.01918029785156,157.448974609375,118.51141357421875,108.93712615966797,37.559059143066406,112.73715209960938,87.10424041748047,52.23689651489258,35.66059494018555,141.824951171875,76.70123291015625,264.8758544921875,81.37841796875,151.86651611328125,143.46568298339844,35.67607879638672,68.70843505859375,39.08908462524414,185.39511108398438,151.32350158691406,38.15855407714844,42.163169860839844,41.55965042114258,80.92586517333984,30.875707626342773,20.999000549316406,57.36605453491211,5.325049877166748,42.87895584106445,92.07611083984375,24.10507583618164,73.29896545410156,68.10425567626953,78.2814712524414,53.638877868652344,68.41828918457031,49.742557525634766,46.5101203918457,33.41072082519531,107.82793426513672,15.920756340026855,52.708621978759766,197.9593505859375,62.11178207397461,86.62529754638672,199.6996612548828,114.73170471191406,92.71060943603516,40.360374450683594,112.21887969970703,33.548789978027344,,49.975379943847656,29.305927276611328,59.765411376953125
2018-01-08,40.79318618774414,70.1047134399414,50.848873138427734,141.23092651367188,185.0399932861328,48.672115325927734,12.279999732971191,140.57742309570312,115.6887435913086,62.34349822998047,21.50206756591797,89.97105407714844,295.5706787109375,24.81877899169922,43.95451354980469,1817.850341796875,431.0626525878906,46.298702239990234,202.74000549316406,56.70894241333008,139.07432556152344,356.54998779296875,62.05646896362305,30.731081008911133,87.43731689453125,43.99338912963867,168.64134216308594,107.55320739746094,31.51267433166504,59.76423645019531,90.11846160888672,142.9981231689453,81.1805648803711,104.53329467773438,,58.76190948486328,59.382442474365234,20.653684616088867,8.49097728729248,233.26602172851562,170.0098419189453,82.40646362304688,54.764854431152344,38.76816177368164,54.89630889892578,209.92628479003906,157.0727081298828,117.87152862548828,109.59412384033203,37.559059143066406,112.88034057617188,87.23287200927734,52.6663932800293,35.606422424316406,141.77218627929688,76.3114013671875,263.6548156738281,80.49370574951172,152.32559204101562,143.36679077148438,35.494529724121094,68.68434143066406,39.19465255737305,186.81398010253906,150.8328857421875,38.10976791381836,41.91903305053711,41.387489318847656,81.00841522216797,31.130102157592773,21.204999923706055,57.87712860107422,5.488212585449219,43.33012008666992,91.54849243164062,23.83695411682129,73.6845932006836,67.99980163574219,78.6296157836914,53.477455139160156,69.06832885742188,49.49220657348633,46.71580123901367,33.710697174072266,108.53335571289062,15.966675758361816,53.20758819580078,198.28213500976562,62.59252166748047,87.0380859375,196.23358154296875,116.3250961303711,93.8366470336914,40.418739318847656,112.67203521728516,33.49125289916992,,49.40993118286133,29.739084243774414,60.03407669067383
2018-01-09,40.788490295410156,70.63318634033203,50.93532180786133,141.70196533203125,186.6999969482422,48.97908401489258,11.819999694824219,142.7412872314453,114.90668487548828,62.6349983215332,21.204334259033203,90.303466796875,303.4615173339844,24.942373275756836,44.35365676879883,1831.083251953125,434.6854248046875,46.25381851196289,203.02000427246094,57.30244064331055,139.40933227539062,354.760009765625,62.146881103515625,30.82978057861328,88.2093505859375,44.35322570800781,166.6818084716797,107.83971405029297,31.315425872802734,59.70274353027344,89.6346664428711,146.9834442138672,84.04423522949219,104.45728302001953,,58.07564926147461,59.48115158081055,20.418254852294922,8.44577693939209,232.47598266601562,170.9899444580078,83.66871643066406,57.488380432128906,38.61911392211914,54.86258316040039,211.70199584960938,157.939697265625,118.83894348144531,109.83546447753906,36.61880874633789,114.67034149169922,87.67507934570312,52.76035690307617,35.784446716308594,143.1520538330078,76.2493896484375,265.5428161621094,81.2152328491211,152.54559326171875,143.0453338623047,35.47801971435547,68.98152923583984,39.48118209838867,186.40719604492188,151.77012634277344,37.70867156982422,42.02259826660156,41.70832824707031,80.9533920288086,30.902158737182617,20.930999755859375,57.46467971801758,5.486728668212891,43.569915771484375,91.61833190917969,23.8107967376709,73.14633178710938,68.48950958251953,78.76886749267578,52.67051315307617,69.82234191894531,49.383724212646484,47.6994743347168,33.289306640625,106.14786529541016,15.925044059753418,54.75993728637695,201.588134765625,63.073265075683594,87.63348388671875,197.21142578125,117.62649536132812,93.79302978515625,40.69599151611328,112.45486450195312,33.368408203125,,49.58513259887695,29.382022857666016,59.779178619384766
2018-01-10,40.77912902832031,70.24563598632812,50.85751724243164,141.20433044433594,187.11000061035156,49.27798843383789,11.960000038146973,142.3365478515625,112.10426330566406,62.71649932861328,20.756553649902344,90.93231201171875,305.20550537109375,25.173095703125,45.74270248413086,1838.5634765625,432.7560729980469,46.373477935791016,205.61000061035156,57.56113052368164,138.94027709960938,350.8299865722656,61.47315216064453,31.194169998168945,89.46711730957031,44.13885498046875,165.90338134765625,107.49392700195312,31.489013671875,59.510650634765625,90.2096176147461,146.39759826660156,83.72891998291016,104.01072692871094,,57.26783752441406,59.70322036743164,20.305889129638672,8.413492202758789,232.7017059326172,170.0513916015625,85.3366470336914,57.9373893737793,37.698570251464844,54.68157196044922,212.0271453857422,156.87646484375,119.66162872314453,110.07014465332031,35.6785774230957,114.53510284423828,88.63984680175781,52.27046203613281,35.66059494018555,142.92349243164062,76.28483581542969,265.97662353515625,80.88883209228516,152.889892578125,143.02056884765625,35.18092346191406,68.66825103759766,39.98638916015625,186.3773956298828,151.68202209472656,38.09892654418945,42.39252471923828,42.201316833496094,80.58634185791016,30.647768020629883,21.25200080871582,57.581233978271484,5.529745578765869,43.33900833129883,91.15279388427734,23.850038528442383,72.68038940429688,68.97271728515625,78.94791412353516,52.662452697753906,70.14994812011719,49.91779327392578,47.89620590209961,32.8250732421875,105.79512786865234,15.555482864379883,56.01923370361328,201.7740020751953,61.42913055419922,87.08572387695312,195.74464416503906,116.54203033447266,94.28700256347656,41.00239944458008,112.33213806152344,33.420127868652344,,50.270050048828125,29.171293258666992,59.3038215637207
2018-01-11,41.010772705078125,70.45146179199219,51.2049674987793,141.3909454345703,188.9199981689453,49.399169921875,12.140000343322754,141.63600158691406,109.95355224609375,63.83399963378906,20.809467315673828,90.49210357666016,312.696044921875,25.263734817504883,46.16581344604492,1858.3831787109375,437.9256286621094,46.71747970581055,206.69000244140625,57.4926643371582,141.72970581054688,355.2699890136719,61.25129318237305,32.340511322021484,90.57740783691406,45.310279846191406,169.44664001464844,107.79032897949219,31.6389102935791,60.724796295166016,92.95108795166016,148.63433837890625,84.02719116210938,105.4549331665039,,56.674503326416016,60.76420211791992,20.552021026611328,8.497434616088867,235.4628143310547,170.68263244628906,85.74241638183594,58.19502639770508,38.741844177246094,54.82588195800781,212.69406127929688,159.23204040527344,120.29383850097656,110.08354949951172,36.44252014160156,115.18741607666016,89.11420440673828,51.76042175292969,35.63737487792969,143.96942138671875,76.5417709350586,266.0409240722656,82.2374038696289,153.9036865234375,142.92164611816406,35.081886291503906,68.86103820800781,40.333248138427734,186.3079376220703,152.4180145263672,38.09892654418945,42.614463806152344,42.41259002685547,80.82490539550781,30.62944793701172,21.724000930786133,57.644004821777344,5.539633750915527,43.47221374511719,90.68722534179688,23.90888786315918,72.42330169677734,68.46991729736328,79.32588958740234,52.799617767333984,70.19673919677734,50.0679931640625,48.44169998168945,32.31798553466797,105.69893646240234,15.496017456054688,58.6091423034668,204.0921630859375,61.38105392456055,87.85575866699219,196.7836151123047,117.08426666259766,96.95313262939453,41.35260772705078,113.14408874511719,33.691688537597656,,50.18244934082031,29.27372932434082,59.88939666748047
2018-01-12,41.43426513671875,71.21083068847656,51.10940933227539,142.27957153320312,195.0500030517578,49.25374984741211,12.020000457763672,144.03347778320312,108.34871673583984,65.26000213623047,20.871854782104492,90.70770263671875,320.4056701660156,25.700448989868164,46.636810302734375,1884.20068359375,452.2620849609375,46.97175598144531,210.16000366210938,58.46657943725586,142.6510009765625,354.0,61.30881118774414,32.21903991699219,91.45353698730469,45.97636795043945,171.64768981933594,108.91663360595703,32.24644470214844,60.54039001464844,93.67327880859375,150.26748657226562,84.70904541015625,106.86112213134766,,56.40284729003906,60.78889083862305,20.541318893432617,8.542632102966309,236.03585815429688,174.90174865722656,84.57032775878906,58.16557312011719,38.63665771484375,55.656070709228516,214.27809143066406,160.65521240234375,121.16984558105469,109.37286376953125,36.299800872802734,115.9591064453125,90.58548736572266,51.908077239990234,35.7225227355957,144.26821899414062,77.06452178955078,270.154541015625,86.63532257080078,155.252197265625,143.070068359375,35.048885345458984,68.63615417480469,40.21259689331055,177.9733428955078,153.77671813964844,37.7303581237793,43.39868927001953,43.13249969482422,82.21969604492188,30.592824935913086,22.12299919128418,57.98472213745117,5.512439250946045,43.96955108642578,91.07518005371094,23.89580726623535,71.989501953125,68.23485565185547,80.11168670654297,52.759273529052734,71.02357482910156,50.40177917480469,49.53269577026367,32.02516174316406,106.13500213623047,15.67442798614502,60.82679748535156,205.569091796875,61.22721862792969,89.4831771850586,199.62110900878906,117.76832580566406,97.41080474853516,41.57147979736328,113.38014221191406,33.53005599975586,,49.81609344482422,29.522512435913086,60.2958869934082
2018-01-16,41.22369384765625,72.73665618896484,50.7619743347168,140.3690185546875,192.4600067138672,49.326473236083984,11.90999984741211,144.42262268066406,110.4912338256836,65.24299621582031,20.78972625732422,90.14173889160156,319.40509033203125,25.741653442382812,45.934295654296875,1884.2696533203125,458.34356689453125,44.81049728393555,210.2899932861328,58.67205047607422,141.8217315673828,352.92999267578125,61.966087341308594,31.74835777282715,90.57740783691406,45.04995346069336,171.37030029296875,107.58285522460938,31.98609161376953,61.047584533691406,92.5584487915039,148.70530700683594,84.77722930908203,105.16988372802734,,56.059715270996094,59.90061569213867,20.584125518798828,8.45869255065918,234.06484985351562,171.36366271972656,82.09090423583984,59.070953369140625,38.741844177246094,55.63126754760742,215.47021484375,160.56527709960938,120.27098846435547,109.84889221191406,36.21584701538086,116.83423614501953,90.26390075683594,52.77376174926758,36.016658782958984,142.4665069580078,75.56716918945312,265.2214050292969,86.72977447509766,155.21395874023438,143.16070556640625,35.47801971435547,68.5317153930664,39.09662628173828,177.0009765625,153.946533203125,37.35634994506836,45.9215202331543,42.7255973815918,81.07266235351562,30.637588500976562,22.152999877929688,56.86393737792969,5.441488265991211,44.04060363769531,91.44761657714844,23.935049057006836,72.47953033447266,68.4764404296875,79.99232482910156,55.07527160644531,69.66632843017578,50.53529357910156,49.65788650512695,31.896608352661133,105.83361053466797,15.59796142578125,59.36945724487305,203.4563751220703,60.54456329345703,89.64193725585938,203.34043884277344,117.05093383789062,96.53179931640625,41.71009826660156,113.66336059570312,33.40074157714844,,49.77627944946289,29.469820022583008,59.916969299316406
